filepath,line_number,string_content,category,surrounding_code
lib\firebase_options.dart,11,firebase_options.dart,UI_VISIBLE,/// import 'firebase_options.dart';
lib\firebase_options.dart,27,DefaultFirebaseOptions have not been configured for ios - ,UI_VISIBLE,'DefaultFirebaseOptions have not been configured for ios - '
lib\firebase_options.dart,28,you can reconfigure this by running the FlutterFire CLI again.,UI_VISIBLE,"'you can reconfigure this by running the FlutterFire CLI again.',"
lib\firebase_options.dart,32,DefaultFirebaseOptions have not been configured for macos - ,UI_VISIBLE,'DefaultFirebaseOptions have not been configured for macos - '
lib\firebase_options.dart,33,you can reconfigure this by running the FlutterFire CLI again.,UI_VISIBLE,"'you can reconfigure this by running the FlutterFire CLI again.',"
lib\firebase_options.dart,39,DefaultFirebaseOptions have not been configured for linux - ,UI_VISIBLE,'DefaultFirebaseOptions have not been configured for linux - '
lib\firebase_options.dart,40,you can reconfigure this by running the FlutterFire CLI again.,UI_VISIBLE,"'you can reconfigure this by running the FlutterFire CLI again.',"
lib\firebase_options.dart,44,DefaultFirebaseOptions are not supported for this platform.,UI_VISIBLE,"'DefaultFirebaseOptions are not supported for this platform.',"
lib\firebase_options.dart,50,[REDACTED_API_KEY],INTERNAL,"apiKey: '[REDACTED_API_KEY]',"
lib\firebase_options.dart,51,1:1063794817524:web:d249d3be349bfbb5a921a1,UI_VISIBLE,"appId: '1:1063794817524:web:d249d3be349bfbb5a921a1',"
lib\firebase_options.dart,52,1063794817524,KEYS,"messagingSenderId: '1063794817524',"
lib\firebase_options.dart,53,carelog-mv,KEYS,"projectId: 'carelog-mv',"
lib\firebase_options.dart,54,carelog-mv.firebaseapp.com,UI_VISIBLE,"authDomain: 'carelog-mv.firebaseapp.com',"
lib\firebase_options.dart,55,carelog-mv.firebasestorage.app,UI_VISIBLE,"storageBucket: 'carelog-mv.firebasestorage.app',"
lib\firebase_options.dart,59,[REDACTED_API_KEY],INTERNAL,"apiKey: '[REDACTED_API_KEY]',"
lib\firebase_options.dart,60,1:1063794817524:android:07215a15052a2410a921a1,UI_VISIBLE,"appId: '1:1063794817524:android:07215a15052a2410a921a1',"
lib\firebase_options.dart,61,1063794817524,KEYS,"messagingSenderId: '1063794817524',"
lib\firebase_options.dart,62,carelog-mv,KEYS,"projectId: 'carelog-mv',"
lib\firebase_options.dart,63,carelog-mv.firebasestorage.app,UI_VISIBLE,"storageBucket: 'carelog-mv.firebasestorage.app',"
lib\firebase_options.dart,67,[REDACTED_API_KEY],INTERNAL,"apiKey: '[REDACTED_API_KEY]',"
lib\firebase_options.dart,68,1:1063794817524:web:ad2292d585874cb1a921a1,UI_VISIBLE,"appId: '1:1063794817524:web:ad2292d585874cb1a921a1',"
lib\firebase_options.dart,69,1063794817524,KEYS,"messagingSenderId: '1063794817524',"
lib\firebase_options.dart,70,carelog-mv,KEYS,"projectId: 'carelog-mv',"
lib\firebase_options.dart,71,carelog-mv.firebaseapp.com,UI_VISIBLE,"authDomain: 'carelog-mv.firebaseapp.com',"
lib\firebase_options.dart,72,carelog-mv.firebasestorage.app,UI_VISIBLE,"storageBucket: 'carelog-mv.firebasestorage.app',"
lib\main.dart,28,FlutterError.onError: ${details.exceptionAsString()},UI_VISIBLE,print('FlutterError.onError: ${details.exceptionAsString()}');
lib\main.dart,42,Firebase initialized successfully.,UI_VISIBLE,debugPrint('Firebase initialized successfully.');
lib\main.dart,45,Firebase.initializeApp() failed: $e,UI_VISIBLE,debugPrint('Firebase.initializeApp() failed: $e');
lib\main.dart,53,Dependency injection configured.,UI_VISIBLE,debugPrint('Dependency injection configured.');
lib\main.dart,55,configureDependencies() failed: $e,UI_VISIBLE,debugPrint('configureDependencies() failed: $e');
lib\main.dart,66,Uncaught error in runZonedGuarded: $error,UI_VISIBLE,print('Uncaught error in runZonedGuarded: $error');
lib\main.dart,109,Inter,INTERNAL,"fontFamily: 'Inter',"
lib\main.dart,119,fr,KEYS,"Locale('fr'), // French only"
lib\main.dart,122,fr,KEYS,"ocale: const Locale('fr'),"
lib\main.dart,125,/login,KEYS,'/login': (context) => const
lib\main.dart,126,/reset-password,KEYS,'/reset-password': (context) => const
lib\main.dart,127,/home,KEYS,'/home': (context) => const
lib\main.dart,128,/materials,KEYS,'/materials': (context) => const
lib\main.dart,129,/materials/create,KEYS,'/materials/create': (context) => const
lib\main.dart,130,/signalements,KEYS,'/signalements': (context) => const
lib\main.dart,131,/signalements/create,KEYS,'/signalements/create': (context) => const
lib\main.dart,132,/of_orders,KEYS,'/of_orders': (context) => const
lib\main.dart,133,/of_orders/create,KEYS,'/of_orders/create': (context) => const
lib\main.dart,134,/of_operator,KEYS,'/of_operator': (context) {
lib\main.dart,140,/admin,KEYS,'/admin': (context) => const
lib\main.dart,141,/supervisor,KEYS,'/supervisor': (context) => const
lib\main.dart,145,/materials/,KEYS,gs.name?.startsWith('/materials/') == true) {
lib\main.dart,146,/materials/,KEYS,ngs.name!.substring('/materials/'.length);
lib\main.dart,147,create,KEYS,ty && materialId != 'create') {
lib\core\presentation\pages\home_page.dart,30,/admin,KEYS,"(context).pushNamed('/admin'),"
lib\core\presentation\pages\home_page.dart,37,/login,KEYS,ushReplacementNamed('/login');
lib\core\presentation\pages\home_page.dart,55,${l10n.homeWelcome}${currentUser != null ? ,UI_VISIBLE,"'${l10n.homeWelcome}${currentUser != null ? ', ${currentUser.emai"
lib\core\presentation\pages\home_page.dart,55, : ,UI_VISIBLE,"${currentUser.email}' : ''}',"
lib\core\presentation\pages\home_page.dart,55,},INTERNAL,"rentUser.email}' : ''}',"
lib\core\presentation\pages\home_page.dart,78,/materials,KEYS,"(context).pushNamed('/materials'),"
lib\core\presentation\pages\home_page.dart,85,/signalements,KEYS,"(context).pushNamed('/signalements'),"
lib\core\presentation\pages\home_page.dart,92,/of_orders,KEYS,"(context).pushNamed('/of_orders'),"
lib\core\presentation\pages\home_page.dart,99,/admin,KEYS,"(context).pushNamed('/admin'),"
lib\core\presentation\pages\home_page.dart,103,Superviseur,INTERNAL,"'Superviseur',"
lib\core\presentation\pages\home_page.dart,106,/supervisor,KEYS,"(context).pushNamed('/supervisor'),"
lib\core\presentation\widgets\carelog_logo.dart,3,C,INTERNAL,r CareLog: stylized 'C' with a check/flow m
lib\core\presentation\widgets\carelog_logo.dart,47,C,INTERNAL,// Draw stylized 'C' arc
lib\core\providers\dashboard_stats_provider.dart,132,Erreur lors du chargement des statistiques: ${e.toString()},UI_VISIBLE,"error: 'Erreur lors du chargement des statistiques: ${e.toString()}',"
lib\core\providers\system_status_provider.dart,48,config,KEYS,.collection('config')
lib\core\providers\system_status_provider.dart,49,system_status,KEYS,.doc('system_status')
lib\core\providers\system_status_provider.dart,56,isReadOnly,INTERNAL,"isReadOnly: data['isReadOnly'] ?? false,"
lib\core\providers\system_status_provider.dart,57,maintenanceMessage,INTERNAL,"enanceMessage: data['maintenanceMessage'],"
lib\core\providers\system_status_provider.dart,58,lastUpdated,INTERNAL,lastUpdated: data['lastUpdated'] != null
lib\core\providers\system_status_provider.dart,59,lastUpdated,INTERNAL,? (data['lastUpdated'] as Timestamp).toDa
lib\data\mappers\material_mapper.dart,17,supplier_${modelMaterial.supplierName},UI_VISIBLE,"id: 'supplier_${modelMaterial.supplierName}', // Generate ID"
lib\data\mappers\material_mapper.dart,19,unknown@example.com,UI_VISIBLE,"contactEmail: 'unknown@example.com', // Default"
lib\data\models\material_model.dart,4,material_model.freezed.dart,UI_VISIBLE,part 'material_model.freezed.dart';
lib\data\models\material_model.dart,5,material_model.g.dart,UI_VISIBLE,part 'material_model.g.dart';
lib\data\models\material_model.dart,170,RAW,INTERNAL,"gory.rawMaterial => 'RAW',"
lib\data\models\material_model.dart,171,CMP,INTERNAL,"tegory.component => 'CMP',"
lib\data\models\material_model.dart,172,PKG,INTERNAL,"tegory.packaging => 'PKG',"
lib\data\models\material_model.dart,173,CON,INTERNAL,"egory.consumable => 'CON',"
lib\data\models\material_model.dart,174,CHM,INTERNAL,"ategory.chemical => 'CHM',"
lib\data\models\material_model.dart,175,MAT,INTERNAL,"alCategory.other => 'MAT',"
lib\data\models\material_model.dart,179,$prefix${DateTime.now().year}$sequence,UI_VISIBLE,return '$prefix${DateTime.now().year}$sequence';
lib\data\models\material_model.dart,234,Matière première,UI_VISIBLE,return 'Matière première';
lib\data\models\material_model.dart,236,Composant,INTERNAL,return 'Composant';
lib\data\models\material_model.dart,238,Emballage,INTERNAL,return 'Emballage';
lib\data\models\material_model.dart,240,Consommable,INTERNAL,return 'Consommable';
lib\data\models\material_model.dart,242,Produit chimique,UI_VISIBLE,return 'Produit chimique';
lib\data\models\material_model.dart,244,Autre,INTERNAL,return 'Autre';
lib\data\models\material_model.dart,252,pièce,INTERNAL,return 'pièce';
lib\data\models\material_model.dart,254,kg,KEYS,return 'kg';
lib\data\models\material_model.dart,256,g,KEYS,return 'g';
lib\data\models\material_model.dart,258,L,INTERNAL,return 'L';
lib\data\models\material_model.dart,260,mL,INTERNAL,return 'mL';
lib\data\models\material_model.dart,262,m,KEYS,return 'm';
lib\data\models\material_model.dart,264,m²,INTERNAL,return 'm²';
lib\data\models\material_model.dart,266,m³,INTERNAL,return 'm³';
lib\data\models\material_model.dart,268,boîte,INTERNAL,return 'boîte';
lib\data\models\material_model.dart,270,palette,KEYS,return 'palette';
lib\data\models\material_model.dart,272,rouleau,KEYS,return 'rouleau';
lib\data\models\material_model.dart,274,autre,KEYS,return 'autre';
lib\data\models\material_model.dart,296,stockUpdateHistory,INTERNAL,'stockUpdateHistory': [
lib\data\models\material_model.dart,297,stockUpdateHistory,INTERNAL,"...metadata['stockUpdateHistory'] ?? [],"
lib\data\models\material_model.dart,299,currentStock,INTERNAL,"'currentStock': newCurrent,"
lib\data\models\material_model.dart,300,reservedStock,INTERNAL,"'reservedStock': newReserved,"
lib\data\models\material_model.dart,301,availableStock,INTERNAL,"'availableStock': newAvailable,"
lib\data\models\material_model.dart,302,timestamp,KEYS,'timestamp': DateTime.now().toI
lib\data\models\material_model.dart,303,updatedBy,INTERNAL,"'updatedBy': updatedBy,"
lib\data\models\material_model.dart,313,Insufficient stock available for reservation,UI_VISIBLE,throw Exception('Insufficient stock available for reservation');
lib\data\models\material_model.dart,326,reservations,KEYS,'reservations': [
lib\data\models\material_model.dart,327,reservations,KEYS,"...metadata['reservations'] ?? [],"
lib\data\models\material_model.dart,329,orderId,INTERNAL,"'orderId': orderId,"
lib\data\models\material_model.dart,330,quantity,KEYS,"'quantity': quantity,"
lib\data\models\material_model.dart,331,timestamp,KEYS,'timestamp': DateTime.now().toI
lib\data\models\material_model.dart,342,Cannot release more than reserved quantity,UI_VISIBLE,throw Exception('Cannot release more than reserved quantity');
lib\data\models\material_model.dart,355,reservationReleases,INTERNAL,'reservationReleases': [
lib\data\models\material_model.dart,356,reservationReleases,INTERNAL,"...metadata['reservationReleases'] ?? [],"
lib\data\models\material_model.dart,358,orderId,INTERNAL,"'orderId': orderId,"
lib\data\models\material_model.dart,359,quantity,KEYS,"'quantity': quantity,"
lib\data\models\material_model.dart,360,timestamp,KEYS,'timestamp': DateTime.now().toI
lib\data\models\material_model.dart,371,Insufficient available stock for consumption,UI_VISIBLE,throw Exception('Insufficient available stock for consumption');
lib\data\models\material_model.dart,384,consumptionHistory,INTERNAL,'consumptionHistory': [
lib\data\models\material_model.dart,385,consumptionHistory,INTERNAL,"...metadata['consumptionHistory'] ?? [],"
lib\data\models\material_model.dart,387,quantity,KEYS,"'quantity': quantity,"
lib\data\models\material_model.dart,388,reason,KEYS,"'reason': consumptionReason,"
lib\data\models\material_model.dart,389,timestamp,KEYS,'timestamp': DateTime.now().toI
lib\data\models\material_model.dart,390,updatedBy,INTERNAL,"'updatedBy': updatedBy,"
lib\data\models\material_model.dart,413,costHistory,INTERNAL,'costHistory': [
lib\data\models\material_model.dart,414,costHistory,INTERNAL,"...metadata['costHistory'] ?? [],"
lib\data\models\material_model.dart,416,cost,KEYS,"'cost': newUnitCost,"
lib\data\models\material_model.dart,417,timestamp,KEYS,'timestamp': DateTime.now().toI
lib\data\models\material_model.dart,418,updatedBy,INTERNAL,"'updatedBy': updatedBy,"
lib\data\models\material_model.dart,428,reference,KEYS,"'reference': reference,"
lib\data\models\material_model.dart,429,name,KEYS,"'name': name,"
lib\data\models\material_model.dart,430,category,KEYS,"'category': category.name,"
lib\data\models\material_model.dart,431,unit,KEYS,"'unit': unit.name,"
lib\data\models\material_model.dart,432,currentStock,INTERNAL,"'currentStock': currentStock,"
lib\data\models\material_model.dart,433,availableStock,INTERNAL,"'availableStock': availableStock,"
lib\data\models\material_model.dart,434,unitCost,INTERNAL,"'unitCost': unitCost,"
lib\data\models\material_model.dart,435,totalValue,INTERNAL,"'totalValue': totalValue,"
lib\data\models\material_model.dart,436,needsReorder,INTERNAL,"'needsReorder': needsReorder,"
lib\data\models\material_model.dart,437,isCriticalStock,INTERNAL,"'isCriticalStock': isCriticalStock,"
lib\data\models\material_model.dart,438,supplierName,INTERNAL,"'supplierName': supplierName,"
lib\data\models\material_model.dart,446,description,KEYS,"'description': description,"
lib\data\models\material_model.dart,447,minimumStock,INTERNAL,"'minimumStock': minimumStock,"
lib\data\models\material_model.dart,448,maximumStock,INTERNAL,"'maximumStock': maximumStock,"
lib\data\models\material_model.dart,449,reservedStock,INTERNAL,"'reservedStock': reservedStock,"
lib\data\models\material_model.dart,450,supplierReference,INTERNAL,"'supplierReference': supplierReference,"
lib\data\models\material_model.dart,451,leadTimeDays,INTERNAL,"'leadTimeDays': leadTimeDays,"
lib\data\models\material_model.dart,452,storageLocation,INTERNAL,"'storageLocation': storageLocation,"
lib\data\models\material_model.dart,453,safetyStock,INTERNAL,"'safetyStock': safetyStock,"
lib\data\models\material_model.dart,454,qualitySpecifications,INTERNAL,'qualitySpecifications': qualitySpecificati
lib\data\models\material_model.dart,455,batches,KEYS,'batches': batches.map((b) =>
lib\data\models\material_model.dart,456,isActive,INTERNAL,"'isActive': isActive,"
lib\data\models\material_model.dart,457,createdAt,INTERNAL,'createdAt': createdAt.toIso860
lib\data\models\material_model.dart,458,updatedAt,INTERNAL,'updatedAt': updatedAt.toIso860
